
URL: http://www.recordonline.com/archive/2004/03/15/jgpensio.htm
 
&nbsp;&nbsp;&nbsp;Jail term doesn't stop employee benefits 

<p>&nbsp;&nbsp;&nbsp; 
  By Jessica Gardner 

<p>Times Herald-Record 
  jgardner@th-record.com 

<p>&nbsp;&nbsp;&nbsp; 

<p>&nbsp;&nbsp;&nbsp;Former Middletown school Superintendent Robert Sigler was busted last year for molesting a male student. He's still serving a 1ª- to five-year sentence. 

<p>&nbsp;&nbsp;&nbsp;He gets to keep his pension of more than $21,000 a year. 

<p>&nbsp;&nbsp;&nbsp;Warren Wagner, a former Middletown police detective, ripped off $20,000 worth of evidence money and served a year in a federal prison in 2002. 

<p>&nbsp;&nbsp;&nbsp;He'll still get a pension shortly after his 55th birthday. 

<p>&nbsp;&nbsp;&nbsp;They're not the only ones. New York is among the majority of states that leave pensions of public employees who commit serious offenses intact, whether the offense is related or unrelated to their jobs. 

<p>&nbsp;&nbsp;&nbsp;That's good news for people like Ed Pilus, the former state police investigator sent to prison for faking fingerprints in at least two cases in Orange and Rockland counties. Pilus was released after serving almost two years in jail. They took his freedom, but they can't touch his pension. 

<p>&nbsp;&nbsp;&nbsp;"It's unusual to me that someone can commit a crime while in public service and still be eligible for a pension," said William Darwak, the Ulster County administrator. "You'd think public employees would be held to a higher standard." 

<p>&nbsp;&nbsp;&nbsp;Not in New York. The state's constitution doesn't allow pension benefits to be "diminished or impaired" for current public employees. Teachers and administrators are covered under a different system, the New York State Teachers' Retirement System, but the same rules apply. 

<p>&nbsp;&nbsp;&nbsp;"There are no provisions in the statutes that would allow us to deny benefits to members," John Cardillo, the records access officer for the NYSTRS. 

<p>&nbsp;&nbsp;&nbsp;That puts Seth Chase in the clear. Chase, a former teacher for the Golden Hill Elementary School, violated state Education Law by pinching and touching sixth-graders. He was fired in 1993 and has received more than $21,000 a year since; that's more than $231,000 in the past 11 years. 

<p>&nbsp;&nbsp;&nbsp;Pensions are made up of a combination of employee contributions and tax dollars paid through the public employers, according to Dan Weiller, spokesman for the state Comptroller's Office. Investments also make up a chunk of the funds paid out in pensions. 

<p>&nbsp;&nbsp;&nbsp;A person's pension amount, in most cases, is calculated from the salary of the last three years of employment as state employee. 

<p>&nbsp;&nbsp;&nbsp;Pension forfeiture laws differ from state to state. Pennsylvania, for example, passed an act in 1978 that penalizes state employees who commit specific crimes through their office. 

<p>&nbsp;&nbsp;&nbsp;The act requires not only the forfeiture of all pension and retirement benefits, except member contributions, but also any benefits for the member's beneficiaries and designated survivors. It even requires that the member contributions be used to pay fines and restitution associated with the conviction. 

<p>&nbsp;&nbsp;&nbsp;The act applies to about 20 crimes ranging from extortion and theft to forgery and tampering with evidence. 

<p>&nbsp;&nbsp;&nbsp;Oklahoma requires the forfeiture of pension benefits if "you are convicted of a felony or other crime which violates your oath of office." 

<p>&nbsp;&nbsp;&nbsp;There aren't any states that make provisions for a law breaker whose offense doesn't pertain to his or her position. Same goes for those whose crimes are acknowledged but never prosecuted. 

<p>&nbsp;&nbsp;&nbsp;That means Gary Pengel, a former Middletown police officer who admitted to molesting a little girl, still gets his $23,109 pension each year – all while serving a four- to 12-year prison term in the Collins Correctional Facility. 

<p>&nbsp;&nbsp;&nbsp;Then there's former Monticello police Chief Michael Brennan and his pal, Sgt. Michael Bunce. These guys retired to avoid prosecution for running a side business of serving legal papers while on duty. They're both getting their annual pensions, $35,190 and $30,315 respectively. 

